Time resolution is 1 ps
========== CPU 整体测试 ==========
PC=07, IR=10, ACC=0002
PC=07, IR=10, ACC=0002
PC=07, IR=10, ACC=0002
PC=07, IR=10, ACC=0002
PC=07, IR=10, ACC=0002
PC=07, IR=10, ACC=0002
PC=07, IR=10, ACC=0002
PC=07, IR=10, ACC=0002
PC=07, IR=10, ACC=0002
PC=07, IR=10, ACC=0002
PC=07, IR=10, ACC=0002
PC=07, IR=10, ACC=0002
PC=07, IR=10, ACC=0002
PC=07, IR=60, ACC=0002
PC=08, IR=60, ACC=0002
PC=08, IR=60, ACC=0002
PC=08, IR=60, ACC=0002
PC=08, IR=60, ACC=0002
PC=08, IR=60, ACC=0002
PC=08, IR=60, ACC=0002
PC=08, IR=60, ACC=0002
PC=08, IR=60, ACC=0002
PC=08, IR=60, ACC=0002
PC=08, IR=10, ACC=0002
PC=09, IR=10, ACC=0002
PC=09, IR=10, ACC=0002
PC=09, IR=10, ACC=0002
PC=09, IR=10, ACC=0002
PC=09, IR=10, ACC=0002
PC=09, IR=10, ACC=0002
PC=09, IR=10, ACC=0002
PC=09, IR=10, ACC=000c
PC=09, IR=10, ACC=000c
PC=09, IR=10, ACC=000c
PC=09, IR=10, ACC=000c
PC=09, IR=10, ACC=000c
PC=09, IR=10, ACC=000c
PC=09, IR=30, ACC=000c
PC=0a, IR=30, ACC=000c
PC=0a, IR=30, ACC=000c
PC=0a, IR=30, ACC=000c
PC=0a, IR=30, ACC=000c
PC=0a, IR=30, ACC=000c
PC=0a, IR=30, ACC=000c
PC=0a, IR=30, ACC=000c
PC=0a, IR=30, ACC=0012
PC=0a, IR=30, ACC=0012
PC=0a, IR=30, ACC=0012
PC=0a, IR=30, ACC=0012
PC=0a, IR=30, ACC=0012
PC=0a, IR=30, ACC=0012
PC=0a, IR=20, ACC=0012
PC=0b, IR=20, ACC=0012
PC=0b, IR=20, ACC=0012
PC=0b, IR=20, ACC=0012
PC=0b, IR=20, ACC=0012
PC=0b, IR=20, ACC=0012
PC=0b, IR=20, ACC=0012
PC=0b, IR=20, ACC=0012
PC=0b, IR=20, ACC=0012
PC=0b, IR=20, ACC=0012
PC=0b, IR=20, ACC=0012
PC=0b, IR=10, ACC=0012
PC=0c, IR=10, ACC=0012
PC=0c, IR=10, ACC=0012
PC=0c, IR=10, ACC=0012
PC=0c, IR=10, ACC=0012
PC=0c, IR=10, ACC=0012
PC=0c, IR=10, ACC=0012
PC=0c, IR=10, ACC=0012
PC=0c, IR=10, ACC=0002
PC=0c, IR=10, ACC=0002
PC=0c, IR=10, ACC=0002
PC=0c, IR=10, ACC=0002
PC=0c, IR=10, ACC=0002
PC=0c, IR=10, ACC=0002
PC=0c, IR=30, ACC=0002
PC=0d, IR=30, ACC=0002
PC=0d, IR=30, ACC=0002
PC=0d, IR=30, ACC=0002
PC=0d, IR=30, ACC=0002
PC=0d, IR=30, ACC=0002
PC=0d, IR=30, ACC=0002
PC=0d, IR=30, ACC=0002
PC=0d, IR=30, ACC=0001
PC=0d, IR=30, ACC=0001
PC=0d, IR=30, ACC=0001
PC=0d, IR=30, ACC=0001
PC=0d, IR=30, ACC=0001
PC=0d, IR=30, ACC=0001
PC=0d, IR=20, ACC=0001
PC=0e, IR=20, ACC=0001
PC=0e, IR=20, ACC=0001
PC=0e, IR=20, ACC=0001
PC=0e, IR=20, ACC=0001
PC=0e, IR=20, ACC=0001
PC=0e, IR=20, ACC=0001
PC=0e, IR=20, ACC=0001
PC=0e, IR=20, ACC=0001
PC=0e, IR=20, ACC=0001
PC=0e, IR=20, ACC=0001
PC=0e, IR=50, ACC=0001
PC=0f, IR=50, ACC=0001
PC=0f, IR=50, ACC=0001
PC=06, IR=50, ACC=0001
PC=06, IR=50, ACC=0001
PC=06, IR=50, ACC=0001
PC=06, IR=50, ACC=0001
PC=06, IR=50, ACC=0001
PC=06, IR=50, ACC=0001
PC=06, IR=10, ACC=0001
PC=07, IR=10, ACC=0001
PC=07, IR=10, ACC=0001
PC=07, IR=10, ACC=0001
PC=07, IR=10, ACC=0001
PC=07, IR=10, ACC=0001
PC=07, IR=10, ACC=0001
PC=07, IR=10, ACC=0001
PC=07, IR=10, ACC=0001
PC=07, IR=10, ACC=0001
PC=07, IR=10, ACC=0001
PC=07, IR=10, ACC=0001
PC=07, IR=10, ACC=0001
PC=07, IR=10, ACC=0001
PC=07, IR=60, ACC=0001
PC=08, IR=60, ACC=0001
PC=08, IR=60, ACC=0001
PC=08, IR=60, ACC=0001
PC=08, IR=60, ACC=0001
PC=08, IR=60, ACC=0001
PC=08, IR=60, ACC=0001
PC=08, IR=60, ACC=0001
PC=08, IR=60, ACC=0001
PC=08, IR=60, ACC=0001
PC=08, IR=10, ACC=0001
PC=09, IR=10, ACC=0001
PC=09, IR=10, ACC=0001
PC=09, IR=10, ACC=0001
PC=09, IR=10, ACC=0001
PC=09, IR=10, ACC=0001
PC=09, IR=10, ACC=0001
PC=09, IR=10, ACC=0001
PC=09, IR=10, ACC=0012
PC=09, IR=10, ACC=0012
PC=09, IR=10, ACC=0012
PC=09, IR=10, ACC=0012
PC=09, IR=10, ACC=0012
PC=09, IR=10, ACC=0012
PC=09, IR=30, ACC=0012
PC=0a, IR=30, ACC=0012
PC=0a, IR=30, ACC=0012
PC=0a, IR=30, ACC=0012
PC=0a, IR=30, ACC=0012
PC=0a, IR=30, ACC=0012
PC=0a, IR=30, ACC=0012
PC=0a, IR=30, ACC=0012
PC=0a, IR=30, ACC=0018
PC=0a, IR=30, ACC=0018
PC=0a, IR=30, ACC=0018
PC=0a, IR=30, ACC=0018
PC=0a, IR=30, ACC=0018
PC=0a, IR=30, ACC=0018
PC=0a, IR=20, ACC=0018
PC=0b, IR=20, ACC=0018
PC=0b, IR=20, ACC=0018
PC=0b, IR=20, ACC=0018
PC=0b, IR=20, ACC=0018
PC=0b, IR=20, ACC=0018
PC=0b, IR=20, ACC=0018
PC=0b, IR=20, ACC=0018
PC=0b, IR=20, ACC=0018
PC=0b, IR=20, ACC=0018
PC=0b, IR=20, ACC=0018
PC=0b, IR=10, ACC=0018
PC=0c, IR=10, ACC=0018
PC=0c, IR=10, ACC=0018
PC=0c, IR=10, ACC=0018
